"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6151",-80.79027,28.62344,2022-03-31,19
"A69-9007-6151",-80.79027,28.62344,2022-04-01,296
"A69-9007-6151",-80.79027,28.62344,2022-04-02,92
"A69-9007-6151",-80.78791,28.62577,2022-03-31,40
"A69-9007-6151",-80.78791,28.62577,2022-04-01,6
"A69-9007-6151",-80.78791,28.62577,2022-04-02,13
"A69-9007-6151",-80.78707,28.62756,2022-03-31,2
"A69-9007-6151",-80.78626,28.6223,2022-03-31,12
"A69-9007-6151",-80.78626,28.6223,2022-04-01,20
"A69-9007-6151",-80.78626,28.6223,2022-04-02,20
"A69-9007-6151",-80.78626,28.6223,2022-04-12,1
"A69-9007-6151",-80.78626,28.6223,2022-05-15,1
