"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6141",-80.79027,28.62344,2022-02-17,6
"A69-9007-6141",-80.79027,28.62344,2022-02-18,68
"A69-9007-6141",-80.78791,28.62577,2022-02-17,21
"A69-9007-6141",-80.78791,28.62577,2022-02-18,50
"A69-9007-6141",-80.78707,28.62756,2022-02-17,2
"A69-9007-6141",-80.78626,28.6223,2022-02-18,58
"A69-9007-6141",-80.76361,28.52824,2023-02-11,5
"A69-9007-6141",-80.7344,28.40443,2022-03-15,7
"A69-9007-6141",-80.7344,28.40443,2022-03-16,39
"A69-9007-6141",-80.7344,28.40443,2022-03-17,3
"A69-9007-6141",-80.7344,28.40443,2022-03-18,35
"A69-9007-6141",-80.7344,28.40443,2023-02-05,6
