"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6148",-80.79027,28.62344,2022-03-31,4
"A69-9007-6148",-80.79027,28.62344,2022-04-01,132
"A69-9007-6148",-80.79027,28.62344,2022-04-02,125
"A69-9007-6148",-80.79027,28.62344,2022-04-03,52
"A69-9007-6148",-80.79027,28.62344,2022-04-04,53
"A69-9007-6148",-80.79027,28.62344,2022-04-05,24
"A69-9007-6148",-80.79027,28.62344,2022-04-14,1
"A69-9007-6148",-80.78791,28.62577,2022-03-31,12
"A69-9007-6148",-80.78791,28.62577,2022-04-01,10
"A69-9007-6148",-80.78707,28.62756,2022-03-31,2
"A69-9007-6148",-80.78626,28.6223,2022-04-01,23
"A69-9007-6148",-80.78626,28.6223,2022-04-02,17
"A69-9007-6148",-80.78626,28.6223,2022-04-03,4
"A69-9007-6148",-80.78626,28.6223,2022-04-04,16
"A69-9007-6148",-80.78626,28.6223,2022-04-05,8
"A69-9007-6148",-80.78626,28.6223,2022-04-11,1
"A69-9007-6148",-80.78626,28.6223,2022-04-12,1
"A69-9007-6148",-80.78626,28.6223,2022-04-14,1
"A69-9007-6148",-80.78626,28.6223,2022-04-15,6
