"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6139",-80.79027,28.62344,2022-02-18,206
"A69-9007-6139",-80.79027,28.62344,2022-02-19,281
"A69-9007-6139",-80.79027,28.62344,2022-02-20,295
"A69-9007-6139",-80.79027,28.62344,2022-02-21,123
"A69-9007-6139",-80.79027,28.62344,2022-02-22,186
"A69-9007-6139",-80.79027,28.62344,2022-02-28,1
"A69-9007-6139",-80.79027,28.62344,2022-03-04,2
"A69-9007-6139",-80.78791,28.62577,2022-02-18,216
"A69-9007-6139",-80.78791,28.62577,2022-02-19,5
"A69-9007-6139",-80.78791,28.62577,2022-02-20,4
"A69-9007-6139",-80.78791,28.62577,2022-02-21,34
"A69-9007-6139",-80.78791,28.62577,2022-02-22,27
"A69-9007-6139",-80.78707,28.62756,2022-02-17,2
"A69-9007-6139",-80.78626,28.6223,2022-02-18,112
"A69-9007-6139",-80.78626,28.6223,2022-02-19,25
"A69-9007-6139",-80.78626,28.6223,2022-02-20,9
"A69-9007-6139",-80.78626,28.6223,2022-02-21,127
"A69-9007-6139",-80.78626,28.6223,2022-02-22,104
"A69-9007-6139",-80.78626,28.6223,2022-02-23,8
"A69-9007-6139",-80.78626,28.6223,2022-02-25,2
