"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6140",-80.80634,28.64989,2022-02-25,3
"A69-9007-6140",-80.80634,28.64989,2022-03-10,28
"A69-9007-6140",-80.80634,28.64989,2022-03-11,34
"A69-9007-6140",-80.79027,28.62344,2022-02-17,1
"A69-9007-6140",-80.79027,28.62344,2022-02-18,169
"A69-9007-6140",-80.79027,28.62344,2022-02-19,142
"A69-9007-6140",-80.79027,28.62344,2022-02-20,79
"A69-9007-6140",-80.79027,28.62344,2022-03-11,7
"A69-9007-6140",-80.78791,28.62577,2022-02-17,23
"A69-9007-6140",-80.78791,28.62577,2022-02-18,179
"A69-9007-6140",-80.78791,28.62577,2022-02-19,76
"A69-9007-6140",-80.78791,28.62577,2022-02-20,6
"A69-9007-6140",-80.78707,28.62756,2022-02-17,2
"A69-9007-6140",-80.78626,28.6223,2022-02-18,43
"A69-9007-6140",-80.78626,28.6223,2022-02-19,15
"A69-9007-6140",-80.78626,28.6223,2022-02-20,17
