"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6150",-80.79027,28.62344,2022-03-31,24
"A69-9007-6150",-80.79027,28.62344,2022-04-01,147
"A69-9007-6150",-80.79027,28.62344,2022-04-02,18
"A69-9007-6150",-80.78791,28.62577,2022-03-31,29
"A69-9007-6150",-80.78791,28.62577,2022-04-01,138
"A69-9007-6150",-80.78707,28.62756,2022-03-31,2
"A69-9007-6150",-80.78626,28.6223,2022-03-31,16
"A69-9007-6150",-80.78626,28.6223,2022-04-01,114
"A69-9007-6150",-80.78626,28.6223,2022-04-02,30
"A69-9007-6150",-80.72826,28.59366,2023-02-06,55
"A69-9007-6150",-80.72826,28.59366,2023-02-07,89
"A69-9007-6150",-80.72826,28.59366,2023-02-08,242
"A69-9007-6150",-80.72826,28.59366,2023-02-09,120
"A69-9007-6150",-80.72826,28.59366,2023-02-10,54
"A69-9007-6150",-80.72826,28.59366,2023-02-15,1
"A69-9007-6150",-80.72292,28.59513,2023-02-08,1
"A69-9007-6150",-80.72292,28.59513,2023-02-09,3
