"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6144",-80.79027,28.62344,2022-03-09,6
"A69-9007-6144",-80.79027,28.62344,2022-03-10,208
"A69-9007-6144",-80.79027,28.62344,2022-03-11,202
"A69-9007-6144",-80.79027,28.62344,2022-03-12,17
"A69-9007-6144",-80.79027,28.62344,2022-03-13,24
"A69-9007-6144",-80.79027,28.62344,2022-03-15,11
"A69-9007-6144",-80.79027,28.62344,2022-03-16,8
"A69-9007-6144",-80.79027,28.62344,2022-03-17,3
"A69-9007-6144",-80.79027,28.62344,2022-03-18,11
"A69-9007-6144",-80.79027,28.62344,2022-03-19,3
"A69-9007-6144",-80.78791,28.62577,2022-03-09,69
"A69-9007-6144",-80.78791,28.62577,2022-03-10,60
"A69-9007-6144",-80.78791,28.62577,2022-03-12,39
"A69-9007-6144",-80.78707,28.62756,2022-03-09,2
"A69-9007-6144",-80.78626,28.6223,2022-03-09,10
"A69-9007-6144",-80.78626,28.6223,2022-03-10,63
"A69-9007-6144",-80.78626,28.6223,2022-03-11,2
"A69-9007-6144",-80.78626,28.6223,2022-03-18,17
"A69-9007-6144",-80.78626,28.6223,2022-03-19,9
"A69-9007-6144",-80.78626,28.6223,2022-04-15,1
"A69-9007-6144",-80.76361,28.52824,2022-10-16,14
"A69-9007-6144",-80.76361,28.52824,2022-10-17,45
"A69-9007-6144",-80.76361,28.52824,2022-10-18,5
"A69-9007-6144",-80.72826,28.59366,2023-01-03,1
"A69-9007-6144",-80.72826,28.59366,2023-01-04,18
"A69-9007-6144",-80.72826,28.59366,2023-01-05,7
"A69-9007-6144",-80.72826,28.59366,2023-01-20,7
"A69-9007-6144",-80.72826,28.59366,2023-01-22,3
"A69-9007-6144",-80.72826,28.59366,2023-01-25,7
"A69-9007-6144",-80.72826,28.59366,2023-01-26,5
"A69-9007-6144",-80.72826,28.59366,2023-01-29,12
"A69-9007-6144",-80.72826,28.59366,2023-01-30,106
"A69-9007-6144",-80.72826,28.59366,2023-01-31,151
"A69-9007-6144",-80.72826,28.59366,2023-02-01,45
"A69-9007-6144",-80.72826,28.59366,2023-02-02,52
"A69-9007-6144",-80.72826,28.59366,2023-02-03,22
"A69-9007-6144",-80.72826,28.59366,2023-02-11,15
"A69-9007-6144",-80.72826,28.59366,2023-02-16,1
"A69-9007-6144",-80.72826,28.59366,2023-02-17,13
"A69-9007-6144",-80.72826,28.59366,2023-02-19,6
"A69-9007-6144",-80.72826,28.59366,2023-03-15,33
"A69-9007-6144",-80.72826,28.59366,2023-03-16,133
"A69-9007-6144",-80.72826,28.59366,2023-03-17,78
"A69-9007-6144",-80.72292,28.59513,2023-01-15,5
"A69-9007-6144",-80.72292,28.59513,2023-01-16,8
"A69-9007-6144",-80.72292,28.59513,2023-01-17,2
"A69-9007-6144",-80.72292,28.59513,2023-01-18,82
"A69-9007-6144",-80.72292,28.59513,2023-01-19,51
"A69-9007-6144",-80.72292,28.59513,2023-01-20,196
"A69-9007-6144",-80.72292,28.59513,2023-01-21,41
"A69-9007-6144",-80.72292,28.59513,2023-01-22,58
"A69-9007-6144",-80.72292,28.59513,2023-01-26,1
"A69-9007-6144",-80.72292,28.59513,2023-01-29,4
"A69-9007-6144",-80.72292,28.59513,2023-01-30,14
"A69-9007-6144",-80.72292,28.59513,2023-02-11,17
