"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6143",-80.79027,28.62344,2022-03-09,3
"A69-9007-6143",-80.79027,28.62344,2022-03-10,28
"A69-9007-6143",-80.79027,28.62344,2022-03-11,26
"A69-9007-6143",-80.79027,28.62344,2022-03-12,1
"A69-9007-6143",-80.79027,28.62344,2022-03-14,6
"A69-9007-6143",-80.79027,28.62344,2022-03-16,2
"A69-9007-6143",-80.79027,28.62344,2022-03-18,3
"A69-9007-6143",-80.78791,28.62577,2022-03-09,60
"A69-9007-6143",-80.78791,28.62577,2022-03-10,202
"A69-9007-6143",-80.78791,28.62577,2022-03-11,57
"A69-9007-6143",-80.78791,28.62577,2022-03-12,31
"A69-9007-6143",-80.78707,28.62756,2022-03-09,2
"A69-9007-6143",-80.78626,28.6223,2022-03-09,5
"A69-9007-6143",-80.78626,28.6223,2022-03-10,24
"A69-9007-6143",-80.78626,28.6223,2022-03-11,24
"A69-9007-6143",-80.78626,28.6223,2022-03-12,6
"A69-9007-6143",-80.78626,28.6223,2022-03-14,9
"A69-9007-6143",-80.78626,28.6223,2022-03-15,4
"A69-9007-6143",-80.78626,28.6223,2022-03-16,35
"A69-9007-6143",-80.78626,28.6223,2022-03-17,21
"A69-9007-6143",-80.78626,28.6223,2022-03-18,8
"A69-9007-6143",-80.72826,28.59366,2022-03-23,18
"A69-9007-6143",-80.72826,28.59366,2022-03-24,102
"A69-9007-6143",-80.72292,28.59513,2022-03-24,8
"A69-9007-6143",-44.71258,60.26279,2022-08-24,1
