"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6149",-80.79027,28.62344,2022-03-31,4
"A69-9007-6149",-80.79027,28.62344,2022-04-01,125
"A69-9007-6149",-80.79027,28.62344,2022-04-02,91
"A69-9007-6149",-80.79027,28.62344,2022-04-10,1
"A69-9007-6149",-80.78791,28.62577,2022-03-31,14
"A69-9007-6149",-80.78791,28.62577,2022-04-01,6
"A69-9007-6149",-80.78707,28.62756,2022-03-31,2
"A69-9007-6149",-80.78626,28.6223,2022-03-31,1
"A69-9007-6149",-80.78626,28.6223,2022-04-01,2
"A69-9007-6149",-80.78626,28.6223,2022-04-02,2
"A69-9007-6149",-80.78626,28.6223,2022-04-12,1
