"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6138",-80.79027,28.62344,2022-02-17,4
"A69-9007-6138",-80.79027,28.62344,2022-02-18,5
"A69-9007-6138",-80.79027,28.62344,2022-03-11,19
"A69-9007-6138",-80.79027,28.62344,2022-03-12,5
"A69-9007-6138",-80.79027,28.62344,2022-03-13,67
"A69-9007-6138",-80.79027,28.62344,2022-03-14,1
"A69-9007-6138",-80.79027,28.62344,2023-02-06,1
"A69-9007-6138",-80.79027,28.62344,2023-02-07,4
"A69-9007-6138",-80.78791,28.62577,2022-02-17,34
"A69-9007-6138",-80.78791,28.62577,2022-03-13,37
"A69-9007-6138",-80.78791,28.62577,2023-02-06,5
"A69-9007-6138",-80.78791,28.62577,2023-02-07,12
"A69-9007-6138",-80.78707,28.62756,2022-02-17,2
"A69-9007-6138",-80.78626,28.6223,2022-02-17,22
"A69-9007-6138",-80.78626,28.6223,2022-02-18,23
"A69-9007-6138",-80.78626,28.6223,2022-03-11,2
"A69-9007-6138",-80.78626,28.6223,2022-03-13,11
"A69-9007-6138",-80.78626,28.6223,2022-03-14,8
"A69-9007-6138",-80.72826,28.59366,2022-03-06,17
"A69-9007-6138",-80.72826,28.59366,2022-03-07,108
"A69-9007-6138",-80.72826,28.59366,2022-03-10,2
"A69-9007-6138",-80.72826,28.59366,2022-03-11,3
"A69-9007-6138",-80.72826,28.59366,2022-03-30,2
"A69-9007-6138",-80.72292,28.59513,2022-03-06,6
"A69-9007-6138",-80.72292,28.59513,2022-03-07,14
"A69-9007-6138",-80.72292,28.59513,2022-03-30,15
