"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6147",-80.79027,28.62344,2022-03-31,17
"A69-9007-6147",-80.79027,28.62344,2022-04-01,21
"A69-9007-6147",-80.78791,28.62577,2022-03-31,35
"A69-9007-6147",-80.78791,28.62577,2022-04-01,3
"A69-9007-6147",-80.78707,28.62756,2022-03-31,2
"A69-9007-6147",-80.78626,28.6223,2022-03-31,3
"A69-9007-6147",-80.78626,28.6223,2022-04-01,7
"A69-9007-6147",-80.72826,28.59366,2023-03-23,10
"A69-9007-6147",-80.72826,28.59366,2023-03-24,4
"A69-9007-6147",-80.72292,28.59513,2023-03-24,23
"A69-9007-6147",-80.72292,28.59513,2023-03-25,3
"A69-9007-6147",-80.71181,28.5905,2023-03-24,8
"A69-9007-6147",-80.71181,28.5905,2023-03-25,29
